Bước	Màn hình Người dùng (Phong thấy gì?)	Hành động của Phong (Phong làm gì?)
0. Bắt đầu	Bản đồ Hành trình: Trạm "Nghệ thuật Mô tả" đã sáng lên. Trạm tiếp theo, "Nghệ thuật Nhận định", đang nhấp nháy, mời gọi.	Phong click vào trạm "Nghệ thuật Nhận định".
1. Lời chào của Sư phụ	Giao diện Dojo: (Trái) Dòng Đối thoại: ALVA: "Chào mừng Phong đến với võ đường 'Nghệ thuật Nhận định'! Đây là nơi chúng ta rèn luyện kỹ năng biến bạn từ một người dùng AI thành một người dẫn dắt AI: tư duy phản biện. Sẵn sàng chưa?"	Phong click vào nút [Bắt đầu].
2. Giảng "Thế võ" 1: Giới thiệu "Bộ câu hỏi Vàng"	(Trái) Dòng Đối thoại: ALVA: "Tuyệt vời! Một nhà phản biện giỏi luôn có một bộ công cụ sắc bén. Để đánh giá sản phẩm của AI, chúng ta sẽ dùng 'Bộ câu hỏi Vàng'. Bạn hãy xem ở bên phải nhé." (Phải) Khung Tri thức: Tự động hiển thị box ví dụ về "Bộ câu hỏi Vàng" từ giáo trình.	Phong đọc và ghi nhớ 5 câu hỏi.
3. Thực hành Lần 1 (Tương tác 2 bước)	(Trái) Dòng Đối thoại: ALVA: "Giờ hãy dùng chính bộ câu hỏi đó để thực hành. Hãy tìm và click vào cụm từ sai trong đoạn văn ở bên phải."  (Phải) Khung Tri thức: Hiển thị một đoạn văn bản tương tác: "Vua Quang Trung, một trong những vị tướng vĩ đại nhất lịch sử, đã đại phá 29 vạn quân Thanh vào mùa hè rực lửa năm 1789"	Hành động 1: Phong đọc, phát hiện lỗi sai và click vào cụm từ "mùa hè rực lửa năm 1789".
	(Trái) Dòng Đối thoại: ALVA: "Chính xác! Bạn đã tìm ra được lỗi sai. Giờ hãy cho tôi biết, lỗi sai này vi phạm tiêu chí nào trong 'Bộ câu hỏi Vàng'?" (Phải) Khung Tri thức: Một popup nhỏ hiện ra ngay cạnh cụm từ được tô sáng với 5 lựa chọn tương ứng với 5 câu hỏi vàng.	Hành động 2: Phong suy nghĩ và gõ vào ô chat và nhấn Enter: ”Dạ, em nghĩ lỗi sai này vi phạm tiêu chí về Tính Chính xác.”
4. Phản hồi & Chuyển tiếp	(Trái) Dòng Đối thoại: ALVA: "Hoàn hảo! Bạn không chỉ tìm ra được lỗi sai, mà còn xác định đúng vấn đề cốt lõi là 'Tính Chính xác'. Đây chính là tư duy của một nhà phản biện. Giờ hãy đến với 'thế võ' tiếp theo."	Phong cảm thấy mình thực sự hiểu bài.
5. Giảng "Thế võ" 2: Phân tích "TẠI SAO"	(Trái) Dòng Đối thoại: ALVA: "Một nhà phản biện giỏi không chỉ nhìn vào kết quả, họ còn phân tích cả quá trình. Hãy học cách nhận diện các 'cờ đỏ' (red flags) trong tư duy của AI ở bên phải."  (Phải) Khung Tri thức: Tự động cập nhật, hiển thị nội dung của Section 4.3 về các "cờ đỏ".	Phong đọc và nắm vững các khái niệm.
Thực hành "Thế võ" 2	(Trái) Dòng Đối thoại: ALVA: "Thử thách nhỏ nhé! Đoạn văn ở bên phải đang mắc phải 'cờ đỏ' nào?" (Phải) Khung Tri thức: Hiển thị đoạn văn MOCK: "AI không thể sáng tạo, nó chỉ lặp lại dữ liệu. Vì vậy, AI là một công cụ tuyệt vời để tạo ra những ý tưởng hoàn toàn mới và sáng tạo."	Phong suy nghĩ và (Gõ vào ô chat): Đoạn văn này mắc lỗi Mâu thuẫn logic do lập luận ở đầu và cuối câu trái ngược nhau
6. Giảng "Thế võ" 3: Tinh chỉnh "NHƯ THẾ NÀO"	(Trái) Dòng Đối thoại: ALVA: "Khi đã tìm ra lỗi, chúng ta cần tinh chỉnh 'NHƯ THẾ NÀO'. Hãy xem 'Công thức Phản hồi' ở bên phải, đây là vũ khí tối thượng của bạn."  (Phải) Khung Tri thức: Hiển thị nội dung Section 4.4, bao gồm cả sơ đồ Vòng lặp Mô tả - Nhận định và box định nghĩa "Công thức Phản hồi" 4 bước.	Phong đọc kỹ và nắm vững công thức.
Thực hành "Thế võ" 3	(Trái) Dòng Đối thoại: ALVA: "Giờ hãy áp dụng công thức này để sửa lỗi về 'Vua Quang Trung' mà chúng ta đã tìm ra lúc nãy. Hãy viết một phản hồi đầy đủ 4 bước vào ô chat."	Phong suy nghĩ và (Gõ vào ô chat): 1. Vấn đề: Thông tin "mùa hè rực lửa năm 1789" không đúng. 2. Giải thích: Vì trận chiến diễn ra vào mùa xuân. 3. Gợi ý: Hãy sửa lại thành "mùa xuân năm Kỷ Dậu 1789". 4. Cập nhật: Từ giờ, hãy kiểm tra kỹ yếu tố mùa khi nói về các sự kiện lịch sử.
